No.,Name,Address,Address 2,City,Salesperson Code,Location Code,Post Code,Phone No.,Fax No.,Contact,Salesperson Code,Customer Posting Group
C0548,NEW ASIAN FASHION,"NO:337/A, MAIN STREET,",MARUTHAMUNAI,,ET005,VAN14,,0672225356/0776630699,,Mr.M.A.Nazeem(A/C-7083716001),ET005,ET
C0549,JAYANANDA FASHION,"NO:41, BELIATTE ROAD,",DICKWELLA,,SN003,VAN11,,412256219,,Mr.H.T.P.Jayananda(313..63301/65031399633-001)/778,SN003,SN
C0550,D MART,"NO:769, GALLE ROAD, IDAMA,",MORATUWA,,BAD DEBT,VAN12,,711701917,,Mr.D.M.J.Heiyanthuduwa,BAD DEBT,CS
C0551,NIHAL TAILORS,"NO.134, RAGALA ROAD,",PADIYAPELLA,,CE1004,VAN13,,0522287120/0722287120,,Mr.Gamini Bandara,CE1004,CE-1
C0552,WIJAYA SHOPPING CENTRE,"NO.10,",RIKILLAGASKADA,,CE1004,VAN13,,812365215,,Mr.R.M.K.G.Nandana Janaka(A/C-2519,CE1004,CE-1
C0553,NEW GOLD TEX,NO 26 MAIN STREET,HOROWPATHANA,,NW003,VAN15,,0252278482/071-8335747,,Mr S H Thowfeek A C 0005620487,NW003,NW
C0554,SAARYA FASHION WEAR-REFAI,"NO.494,RATHNAPURA ROAD,",HORANA,,CE1001,VAN13,,343743544,,Mr.Hemakumara,CE1001,CE-1
C0555,ZUHARA TEXTILE,NO 84 KANDY ROAD,MAWATHAGAMA,,CE1004,VAN13,,0372299044/077-7242241,,A M Ilham 10950003818 11304001 4215686 312,CE1004,CE-1
C0556,BOYS MENS WEAR,"NO.33, AMBAGAMUWA ROAD,",GAMPOLA,,CE1004,VAN13,,0812350745/077-6607776,,Mr.Dilshan(A/C-14010013626-H.A.Kalam/,CE1004,CE-1
C0557,HIMASHI,"NO.242,KANDY ROAD,",KURUNEGALA,,CE1004,VAN13,,0372221670/077-7679760,,Mr.Nilantha Gunarathna-010950000312,CE1004,CE-1
C0558,MELANI DESIGN WEAR-Sellepperuma,"NO.235/B/1, KATUGASTHOTA ROAD,",KANDY,,A SELL,VAN13,,0812220751/071-5117995,,D.J.Melani . Subhasinghe(3238351801/1314005002/227,A SELL,CE-1
C0559,AVENUE (A'S & S'S CREATIONS),"NO.171/1, KANDY ROAD, YATIRAWANA,",WATTEGAMA,,CE1004,VAN13,,"0814951631/777-411866,77411877",,W.Asitha Shehan(A/C-10550000992/10510000140/477,CE1004,CE-1
C0560,TOPAZ,"NO.70, POWER HOUSE ROAD,GRAND BAZZAR,",JAFFNA,,NW003,VAN15,,112334812,,A.G.Nasroon(A/C-72010008151/16010018508),NW003,NW
C0561,EXCELLENT TEX,"NO.55, K.K.S.ROAD,",CHUNANAKAM,,SNO002,VAN2,,213207798,,S.Vigikaran(117010005113),SNO002,SNO
C0562,SAHARA,"NO.90, MAIN STRET,",KEGALLE,,CE1004,VAN13,,0352221100/077 7700479,,Mr.Fazil-686,CE1004,CE-1
C0563,FAVOURITES - CENTRAL 1,"NO:08,MAIN STREET,",KIRINDIWELA,,CE1004,VAN13,,332267843,,M.M.Nazeer(A/C-4641520001/50001485),CE1004,CE-1
C0564,KANDY FASHION,"NO:95, MAIN STREET,",KURUNEGALA,,CE1004,VAN13,,0372221257/0759001625,,M.J.M.Jafran(01800105644001-M.H.M.Thaseem/36001,CE1004,CE-1
C0565,R.D.M.FASHION,"NO:32, OLD MARKET ROAD, KOTUWEGODA,",MATARA,,SN003,VAN11,,412255749,,Mr. M.S.M.Rizni(A/C-0070943431),SN003,SN
C0566,STAR TEX,NO 82 MODERN MARKET BAZZAR STREET,VAVUNIYA,,NW003,VAN15,,242226525,,Mr Jehan A C 032010008049 R Jagatheeskumar,NW003,NW
C0567,PIYARATHNA TEX,NO 28 EKAMUTHU BUILDING AGALAWATTE ROAD,MATHUGAMA,,CT001,VAN3,,0342248072/2455648 0773805915,,Mr M Chamila Sampath A C 66033547250001,CT001,SCT
C0568,OSAKA FASHION,"NO.12-1/D,CHILAW ROAD,",WENNAPPUWA,,NW003,VAN15,,312249737,,Mr.C.Sirimes Perera(A/C-1260009616),NW003,NW
C0569,COLLECTION SUPER STORE-Athurugiriya,"NO.116, MAIN ROAD,",ATHURUGIRIYA,,CT001,VAN3,,112456006,,Salinda Bandara(21100008621/72745193/136010003383),CT001,SCT
C0570,THE GENTS,NO 04 CROSS ROAD,KALUTARA SOUTH,,CT001,VAN3,,,,Mr H F M Farees 101000219461,CT001,SCT
C0571,STYLO MAWANELLA,NO 33A Y A.COMPLEX COURTS ROAD,MAWANELLA,,CE1004,VAN13,,0723904009/072-3904009,,Mr M A M Faiz A C 10125173001,CE1004,CE-1
C0572,TRENDY FASHION,"NO:16, SAMARAWEERA STREET,",WELIGAMA,,BAD DEBT,VAN11,,773498121,,Mr.Duleepa Lakruwan,BAD DEBT,SN
C0573,CITY POINT - Pakeeza S/Room,AKURANA,,,SPK,SPK,,,,,SPK,PK
C0574,MOHAMADU & BROTHERS,"NO:80,PARAKUMBA STREET,",KURUNEGALA,,CE1004,VAN13,,0372222514/071-6142878,,Mr.Rahumath/0009088307,CE1004,CE-1
C0575,DIPLO ASFAN - Jaffna-Sellepperuma,"NO.09, GRAND BAZZAR,",JAFFNA,,SNO001,VAN2,,0215674477/077 7386097,,Mr.M.Fairoos,SNO001,SNO
C0576,NIROSHI FASHION,WALASMULLA ROAD,MIDDENIYA,,SN003,VAN11,,0718083323/071-112223,,Mr Mahesh Widanagama,SN003,SN
C0577,FASHION WAY,NO 60 KURUNEGALA ROAD BANDAWA,PLOGAHAWELA,,CE1004,VAN13,,0711228888/077-072222/077789894,,Mr M K M Rizmy 1141010820 77001,CE1004,CE-1
C0578,LAKSIRI FASHION (PVT) LTD,"KANANWILA,",HORANA,,CS001,VAN12,,0777750634/034-2264159,,Mr.H.K.Sarath,CS001,CS
C0579,RANGA SHOPPING CENTER,"NO407/409, MAIN STREET,",PANADURA,,CT001,VAN3,,,,A/C-6535943,CT001,SCT
C0580,PRIMARK MAHIYANGANAYA,NO 38 NEAR PRIVATE BUS STAND,MAHIYANGANAYA,,ET006,VAN14,,0772209977/055-2257085,,Mr Mr Kumudula De Silva A C 1137007878 364 068 444,ET006,ET
C0581,NEW SIRI RAMYA SAREE CENTER,"NO.70, MAIN STREET,",MONARAGALA,,ET006,VAN14,,5522760930,,Chandimal D.Wckramasoriya(7450001508/1120911200/44,ET006,ET
C0582,MOONAGE,"NO.139, HIGHLEVEL ROAD,",NUGEGODA,,CN003,VAN1,,0777425946/011-2856655,,L.H.C.Danister(75088118/56010015541/56010011246/18,CN003,CN
C0583,HANDY-X FORCE,"NO.129 A, GALLE ROAD,",KALUTARA - SOUTH,,AX FORCE-2,VAN12,,0777794761/071-5444675,,Mr.M.H.M.Haslam(334913190117/9828718/6546,AX FORCE-2,CS
C0584,ASIAN TEXTILE,"NO.24, PALALY ROAD,",THIRUNELVELE,,SNO002,VAN2,,777243461,,jeykumar()144010000017),SNO002,SNO
C0585,FASHION LAND,"NO.06,WATTEGAMA ROAD,",MADAWALA,,CE1001,VAN13,,077912966/077-7804059,,Mr.M.Fazeel,CE1001,CE-1
C0586,SURENDRA FASHION,NO 252 3 KOSWATTE,THALANGAMA NORTH,,CT001,VAN3,,0112882245/072-4340764,,Ms G Nadeesha Surangi A C 331158001 22488,CT001,SCT
C0587,HANDSOM MENS WEAR-LEGAL,"NO.187, MAIN STREET,",SAINDAMARUTHU,,AZEEM,VAN14,,777112001,,Mr.A.M.Baris,AZEEM,ET
C0588,SUPUL TRADERS,NO 07 HOSPITAL ROAD,MULLERIYAWA NEW TOWN,,CN003,VAN1,,,,A C 3914792001 177001 176001 3001,CN003,CN
C0589,SARATHA'S,"2-36, 1ST FLOOR, MAJESTIC CITY,",COLOMBO 04,,CN003,VAN1,,11259942,,Mr.R.Jayaprakash(A/C-3226612001),CN003,CN
C0590,HARSHA DRESS POINT & TAILORS,NO 258 A GALLE ROAD,HIKKADUWA,,SN003,VAN11,,912277259,,Mr Harsha,SN003,SN
C0591,FASHION BOYS,"NO.214B, STATION ROAD,",VAVUNIYA,,NW003,VAN15,,779225407,,Mr.Thilipkumar(A/C-2106010001543/4057,NW003,NW
C0592,RASI SILK,"NO.181, 182, MAIN STREET,",NEGAMBO,,NW001,VAN15,,,,Mr.M.R.M.Niyaas,NW001,NW
C0593,DISSANAYAKA TEXTILE,"NO.305, MAIN STREET,",DENIYAYA,,SN003,VAN11,,773408667,,Mr. Sagara Dissanayaka,SN003,SN
C0594,JEYECHANDRANS,NO 433 GALLE ROAD WELLAWATTE,COLOMBO 06,,CN003,VAN1,,01145284358/077-9604321,,Mr Vadivet Karasan A C 009010470397 119 959 506 50,CN003,CN
C0595,TOP LADY AND BOY TEX,"NO.99, H.P. ROAD,",VAVUNIYA,,NW003,VAN15,,772338287,,Mr.W.A.Aswim(530750001620-UB-M.K.A.Aleem/488/89,NW003,NW
C0596,MEGESTIC MC STYLE,"NO.567, DEMATAGODA ROAD,",COLOMBO 09,,CN001,VAN1,,112685499,,,CN001,CN
C0597,UNLIMID FASHION - KULIYAPITIYA,"NO.182, MAIN STREET,",KULIYAPITIYA,,AX FORCE-1,VAN15,,77365009,,Mr.Anifar Mohommed Munifar-1127,AX FORCE-1,NW
C0598,SHINCO PALACE,"NO.44, HILOGAMA ROAD,",NIKAWARATIYA,,NW003,VAN15,,,,Mr.Dissanayaka(A/C-121010001138),NW003,NW
C0599,M.D.SHOE PALACE & TEXTILES,"WALASMULLA ROAD,",MIDDENIYA,,SN003,VAN11,,0472248205/047-2248208,,Mr.M.D.Nishantha Kumara(A/C-015850001127-SAM),SN003,SN
C0600,ROY TEXTILE & TAILORS - Material,,,,CT001,VAN3,,,,A/C-1310036404/027030411641001/4915/8052,CT001,SCT
C0601,AFSHAN'S-Sellepperuma,"NO.45, NEW MARKET INSIDE,",JAFFNA,,A SELL,VAN2,,0772329313/071-7874089,,Mr.T.M Ruzan,A SELL,SNO
C0602,S.S.INTERNATIONAL,INDIA,,,MAINSTORES,MAINSTORES,,,,Mr.Thirugnam,MAINSTORES,COUNTER
C0603,SIRASA CHOICE,COLOMBO ROAD,KEGALLA,,A SELL,VAN13,,777412034,,Mr M Fazeel 0001171058 BOC 8985259,A SELL,CE-1
C0604,RANJANAS (PVT) LTD,"NO.127, MAIN STREET ,",COLOMBO 11,,CN003,VAN1,,,,2320900/2302824/2320834/2471638/1.475/.08566,CN003,CN
C0605,TWIN'S FASHION,"NO.76, MORATUWA ROAD,",PILIYANDALA,,CS001,VAN12,,112616160,,Mr.D.A.B.Dharmasiri Silva,CS001,CS
C0606,SUJAANAS,"NO.554/B, HOSPITAL ROAD,",JAFFNA,,SNO001,VAN2,,777341102,,Mr.S.H.M.Nasdeen,SNO001,SNO
C0607,A-Tex,,,,CE1001,VAN13,,,,,CE1001,CE-1
C0608,Ajmal-Tex,,,,CE2001,VAN7,,,,,CE2001,CE-2
C0609,BEW Textile,,,,ET001,VAN14,,,,,ET001,ET
C0610,Mettasiri Textile,,,,NW001,VAN15,,,,,NW001,NW
C0611,APD Brothers,,,,MAINSTORES,MAINSTORES,,,,,MAINSTORES,FRANCHISE
C0612,Asha Perera Tex,,,,MAINSTORES,,,,,,MAINSTORES,INTERCOMP
C0613,NEW RIZWANA'S TEXTILES,"NO.26, MAIN STREET,",GALAHA,,CE1001,VAN13,,0812467492/077-3426956,,Mr.A.J.M.Jameel,CE1001,CE-1
C0614,D & A,NO 171 KESBAWA ROAD,BORALESGAMUWA,,CT001,VAN3,,115650476,,Anil Rodrigo 064010003771 47820 1145,CT001,SCT
C0615,JANALANKA TEXTILES,"NO.29, MAIN STREET,",BANDARAWELA,,ET006,VAN14,,572222788,,Mr.K.Kumaravel (A/C-2593676001)/7354/206,ET006,ET
C0616,MODESTY,"NO.09,KOTMALE ROAD,",NAWALAPITIYA,,CE1001,VAN13,,0773479385/077-2226663,,Mr.S.H.M.Rizmy/Mr.A.G.M.Shafri,CE1001,CE-1
C0617,POSH,"NO.53C, MALABAR STREET,",GAMPOLA,,CE1001,VAN13,,777674894,,Mr.M.Rizwan,CE1001,CE-1
C0618,RANJAN HOUSE OF FASHION,AWARIYAWATTE,KATUNAYAKA,,NW003,VAN15,,,,Mr Ranjan A C 49010002365 3340706101,NW003,NW
C0619,NEW MOHIDEEN'S,"NO.49,GINIGATHHENA ROAD,",YATIYANTHOTA,,CE2004,VAN7,,362270453,,Mr.M.P.M.Ameen,CE2004,CE-2
C0620,ON GOING,"BARAKATH TEX COMPLEX, MAIN STREET,",MARATHAMUNAI,,ET006,VAN14,,,,Mr.B.MUHAMMATH,ET006,ET
C0621,LITTLE ASIA EMPORIUM (PVT) LTD.,"NO.317, 317A, GALLE ROAD, WELLAWATTE,",COLOMBO 06,,CS001,VAN12,,0112504470/011-2500098,011 2508934,Mr.Roy,CS001,CS
C0622,FASHION CLUB,"1/38, D.S.SENANAYAKA MAWATHA,",PANADURA,,CS001,VAN12,,0774790749/0382244985,,Mr.Janaka(A/C-5263312001),CS001,CS
C0623,M.S.SAMSUDEEN LEBBE & SONS,"NO.03, MAIN STREET,",MAWANELLA,,CE1004,VAN13,,0352246143/0773617831,,Mr.M.H.M.Faizal(A/C-89010006315/16050003470),CE1004,CE-1
C0624,FRS COMMUNICATION & TEXTILES,1068 POLICE ROAD,SAMMANTHURAI,,ET006,VAN14,,0672260993/077-8907777,,Mr Farook Riyas A C 091010020232 3002,ET006,ET
C0625,VENASA,"NO.54/7, KOTIKAWATTE ROAD, GOTHATUWA,",NEW TOWN,,CS001,VAN12,,0777266551/2727074,,Mr.Lalith Hemachandra,CS001,CS
C0626,JAYANTHYS,"NO.106,, COLOMBO STREET,",KANDY,,CE1004,VAN13,,812222464,,Mr.V.Kanagarajah(A/C-018032471182001),CE1004,CE-1
C0627,J-TEX,"77-A, COLOMBO STREET, KANDY",KANDY,,KYM,VAN13,,0812224959/0772631719,,Mr.M.J.M.Azeem,KYM,CE-1
C0628,HERO Tex-sellepperuma,"NO.228, MODERN COMPLEX, LOWER STREET,",BADULLA,,A SELL,VAN7,,0728099013/0773794695/553051943,,S.Selvakumar/Pushparaj(1520014766/1520026666),A SELL,CE-2
C0629,OLAK,"NO.8/2/1, SARANAPALA MAWATHA,",PILIYANDALA,,CS001,VAN12,,0112606090/077-2300092,,Mr.N.V.Ramanayaka-12201,CS001,CS
C0630,SIGNATURE S/R - MATARA (N),"NO.59,OLD TANGALLE RD,",MATARA,,MAINSTORES,MAINSTORES,,412233000,,,MAINSTORES,FRANCHISE
C0631,FEATHER EXCLUSIVE,"NO.826/6,THANGAMA NORTH,",MALABE,,CS001,VAN12,,0112742425/077-3759266,,Mr.P.H.Aruna Shantha,CS001,CS
C0632,FASMINA'S,"MAIN STREET,",ADDALAICHENAI,,ET006,VAN14,,0673696719/077-4652400,,Mr.M.T.M.Mihartheen(A/C-0035061001),ET006,ET
C0633,SAHANA S TEX-ANURADHAPURA,NEW BUS STAND,ANURADHAPURA,,NW003,VAN15,,252235759,,Mr M M S M Sajith A C 010010006741 016850002219,NW003,NW
C0634,THILAK DESIGN & TAILORING,NO 38 1 1 PANNIPITIYA ROAD,BATTARAMULLA,,CT001,VAN3,,777853522,,Mr L P Chaminda Thilak Perera 6538,CT001,SCT
C0635,ONE TOUCH (ASANKA TAILORS & GARMENTS),"NO.52, GAMPOLA ROAD,",PERADENIYA,,CE1004,VAN13,,0812385084/716200032/712434563,,Mr.Asanka Dissanayake/Mr.Jayantha,CE1004,CE-1
C0636,KANTHISIRI TRADE CENTER,MAIN STREET,GALLE,,SN003,VAN11,,777907950,,Mr Kanthisiri AC0001586973 BOC,SN003,SN
C0637,COLOMBO TEX,"NO.130/A, MAIN STREET,",KEKIRAWA,,NW003,VAN15,,0252264168/077-3425984,,Mr.Nislan Mohamed(7453072001/745848001),NW003,NW
C0638,MICRO TEX - KEKIRAWA-SANDARUWAN,"7/B, MAIN STREET,",KEKIRAWA,,NW003,VAN15,,252265158,,M.H.Amanulla(A/C-014950003171/1133159014),NW003,NW
C0639,GOOD LUCK MULTI PURPOSE,"NO.27/1, KANDY ROAD,",KALAGEDIHENA,,A SELL,VAN13,,0332291332/077-3658505,,D.L.P.Jayarathne(165.514/51010013610/469/317/145-0,A SELL,CE-1
C0640,ONE PLUS ONE (PVT) LTD,NO 14 KOTUGODELLA STREET,KANDY,,CE1004,VAN13,,0777843226 081-2204112,,Mr.Kosala Gamage 0073792785 9138001,CE1004,CE-1
C0641,NEW MOHIDEEN DRAPERY STORES,"NO.31, COLOMBO ROAD,",MINUWANGODA,,CE1004,VAN13,,112297984,,Mr.H.M.Hussain(A/C-69395560118),CE1004,CE-1
C0642,MOHIDEEN DRAPERY STORES,"NO.01, COLOMBO ROAD,",MINUWANGODA,,CE1004,VAN13,,0112295116/0777-060123,,Mr.H.M.Rimsan,CE1004,CE-1
C0643,COW BOY,"NO.296, PERADENIYA ROAD,",KANDY,,CE1002,VAN13,,772784000,,Mr.M.Imran(00136430002),CE1002,CE-1
C0644,GLAMOUR,"NO.49, AMBAGAMUWA ROAD,",GAMPOLA,,CE1004,VAN13,,773620737,,Mr.M.R.M.Arshad,CE1004,CE-1
C0645,SARITA TEXTORIUM (PVT) LTD,"NO.99, MAIN STREET,",COLOMBO 11,,CN003,VAN1,,02446023/2345649/0714811963,2435364,Mr.N.Periyannan(A/C-71800268),CN003,CN
C0646,BANDULA SALE CENTER,NO 72 WACKWELLA ROAD,GALLE,,SN003,VAN11,,0914980479/4380269/777904001,,Mr R B Bandula 1000500 10018880 003550023848 5787,SN003,SN
C0647,FASHION CITY-NELLIADY,"M.M.V.ROAD, NELLIADY,",JAFFNA,,SNO001,VAN2,,771615151,,Mr.K.Vinoth(0074159549),SNO001,SNO
C0648,DESIRE,"NO.521,DEMATAGODA ROAD,",COLOMBO 09,,CN003,VAN1,,112690596,,Mr.M.F.M.Hamza (4577),CN003,CN
C0649,BELIYO,"NO.542/A, NEGAMBO ROAD,",MAHABAGE,,CN003,VAN1,,0774300830/011-2247517,,Mr.L.V.Manel De Silva(A/C-087010018164),CN003,CN
C0650,DIKWELLA STORES,NO.35 MONARAGALA ROAD,WELLAWAYA,,ET006,VAN14,,0773060216/055-2274865,552274995,Mr M H M Insaf A C 106011000374 106010001187 264,ET006,ET
C0651,R.M.I.GENTS COLLECTION,"NO.738/2, NADURANA JUNCTION,",EHELIYAGODA,,CE2004,VAN7,,715555221,,Mr.M.R.M.Ifad,CE2004,CE-2
C0652,AROMA FASHION,"NO.87, MAIN STREET,",HATTON,,CE2004,VAN7,,0512222402/077657063,,Mr.Gunasekaran(A/C-015010014886/15010015982,CE2004,CE-2
C0653,SAMAYA PURAM TEX,"NO.12, GLENLYON BAZZAR,",AGARAPATHANA,,CE2004,VAN7,,0770288078/0774226686,,Mr.M.S.Kumar,CE2004,CE-2
C0654,SAATH CHOICE,"NO.218 A, VANNIYAR ROAD,",NINDAVUR - 12,,ET006,VAN14,,0772149262/0672251246,,Mr.Samurdeen-A/C 0007064007(BOC),ET006,ET
C0655,MODERN TEX-Sellepperuma,"NO.13,, CAR PARK,",BALANGODA,,A SELL,VAN14,,0452287742/077-9682402,,Mr.M.F.M.Nawfar(009750003378/9454069/574/3378,A SELL,ET
C0656,SARAVANAS,"NO.689, MAIN STREET,",HAPUTALE,,CE2002,VAN7,,0777804369/057-2268199,,Mr.Udayakumar(A/C-0011455001/8630,CE2002,CE-2
C0657,DILIGANZ FASHION PVT LTD,NO 04 GALLE ROAD,DEHIWALA,,CN003,VAN1,,0112731407 077 2980236,011-2731408,A C 000110084749,CN003,CN
C0658,JULIANA FASHIONS,"NO.282, KOTTAWA ROAD,",MORAGAHAHENA,,CS001,VAN12,,0759547841/075-9758508,,,CS001,CS
C0659,MICRO DRESS POINT,"NO.149, DAMBULLA ROAD,",GALEWELA,,NW003,VAN15,,0773489765/0715326871,,Mr.Nazam(A/C-0010031030/58791001),NW003,NW
C0660,Wijey Sons,,,,CN001,VAN1,,,,,CN001,CN
C0661,Madu Fashion,,,,SCO01,VAN12,,,,,SCO01,CS
C0662,Rose Fashion,,,,SN002,VAN11,,,,,SN002,SN
C0663,KANDY SELECTION (PVT) LTD - Accessories,"NO.43, KANDY ROAD,",KADAWATHA,,CN003,VAN1,,02926921/0772589333,,MrD.A.Sanath Kumara,CN003,CN
C0664,N COLLECTION,"NO.64, MAIN STREET,",HATTON,,CE1004,VAN13,,772914951,,S.Rammohan(1890014504/1890023635),CE1004,CE-1
C0665,LA-LITHYA,"NO.120, GALLE ROAD, KALUWAMODARA,",ALUTHGAMA.,,SN002,VAN11,,0777221307/034-2274978,,Mr.M.G.P.Senevirathne,SN002,SN
C0666,YELLYA,"SRI LAMYA BUILDING, KANDY ROAD,",NITTAMBUWA,,CE1004,VAN13,,335621813,,Mr.Chandana Hewapathirana(007110001961/2275,CE1004,CE-1
C0667,UNLIMIT - B'wela & Welimada,"NO.499/1, BADULLA ROAD,",BANDARAWELA,,CE2004,VAN7,,0777426717/057-2222600,,Mr.S.H.G.Meeran(1136010800),CE2004,CE-2
C0668,BRANDS' WAREHOUSE (PVT) LTD,"NO.144, D.S. JAYASINGHE MAWATHA,",NUGEGODA,,CS001,VAN12,,0773242424/0112812229,,MrM. Taseem Traders,CS001,CS
C0669,MOHARIN STORES,MAIN STREET,NOCHCHIYAGAMA,,NW003,VAN15,,0252257814 077 7340135,252257709,Mr T M M S. Makeen A C 013850000039,NW003,NW
C0670,BAD DEBT-CN,,,,CN001,VAN1,,,,,CN001,CN
C0671,BAD DEBT-CS,,,,CS001,VAN12,,,,,CS001,CS
C0672,BAD DEBT-NW,,,,NW001,VAN15,,,,,NW001,NW
C0673,BAD DEBT-CE 1,,,,CE1001,VAN13,,,,,CE1001,CE-1
C0674,BAD DEBT-CE 2,,,,CE2001,VAN7,,,,,CE2001,CE-2
C0675,BAD DEBT-ET,,,,ET001,,,,,,ET001,ET
C0676,BAD DEBT-SN,,,,SN001,VAN11,,,,,SN001,SN
C0677,LEONIS TEXTILES-Sellepperuma,"NO.04, HASSAN MAWATHA,",MAWANELLA,,A SELL,VAN13,,0776660005/035-2248443,035-2248445,BOC-0076107200-26164/SAMPATH-5835,A SELL,CE-1
C0678,DEBTORS - Sandaruwan (Legal Action),,,,AZEEM,VAN15,,,,,AZEEM,NW
C0679,BAD DEBT-PK,,,,SPK,SPK,,,,,SPK,PK
C0680,MANS STORES,"NO.05, DHARMADUTHA ROAD,",BADULLA,,CE2004,VAN7,,715211252,,Mr.Sharook Wahid(A/C-1520025200),CE2004,CE-2
C0681,DIPLO ASFAN - A'Pura,"334/78, BANK SITE,",ANURADHAPURA,,AZEEM,VAN15,,0714038744/075-9038744,,Mr.M.S.M Fairooz,AZEEM,NW
C0682,SASHIKALAS COMPLEX,"NEGAMBO ROAD,",MARAWILA,,NW003,VAN15,,0713026224/0322255174,,Mr.W.I.P.Sumith Fernando(A/C-19450000208),NW003,NW
C0683,RUWANARA TEXTILES,"NO.93, KURUNEGALA ROAD,",NARAMMALA,,CE1004,VAN13,,0777483977/0718426544,,Mr.Nuwan Nawarathna (A/C-106033534111001),CE1004,CE-1
C0684,4 YOU,"MAIN STREET,",POLONNARUWA,,ET006,VAN14,,771785369,,Mr.Janith Susantha,ET006,ET
C0685,SAHANAS TEX-VAVUNIYA,"NO.54, THARMALINGAM ROAD,",VAVUNIA,,NW003,VAN15,,773254448,,Mr.M.Mera S.M.Sajith(A/C-010010006741/2219,NW003,NW
C0686,PATHIRANA SUPER,"NO.33, KANDY ROAD",KANTHALE,,NW003,VAN15,,0262234340 072 7234413,,B P Harsha G Kalhara 5646 9501 1656 17250002505,NW003,NW
C0687,SIM CITY,"MAIN STREET,KINNIYA -03",,,NW003,VAN15,,0775577888/770241787/262236837,,Mr.A.K.M.Aslam(A/C-0051804001-PB)/3532,NW003,NW
C0688,DESIGN CLUB,,,,,,,,,,,
,,DAMBULLA,,"NO.515, SHOP 5, ANURADHAPURA ROAD,",VAN15,,071-9240827,,Mr.Asala Jayasinghe,NW003,NW,WHOLESALE
C0689,DILAKSHA FASHION,"NO.119, KURUNEGALA ROAD,",HETTIPOLA,,NW003,VAN15,,0777280502/037-91423,2291427,Mr.Wasantha Udayasiri(A/C-50002400/5000375/1177,NW003,NW
C0690,WELCOME MARKETING SERVICES (PVT) LTD,"NO.309,, GALLE ROAD,",PANADURA,,SCO01,VAN12,,0777393171/038-2240016,,Mr.F.F.M.Fazal(01710000284/20791/758,SCO01,CS
C0691,DEBTORS - Kumara (Legal Action),,,,A OTHERS,VAN7,,,,,A OTHERS,CE-2
C0692,CASH SALES-Jaffna,,,,SNO002,VAN2,,,,,SNO002,SNO
C0693,COLO BRANDS (PVT) LTD,"NO.451, GALLE ROAD,",COLOMBO 03,,CN003,VAN1,,0777760820/114724242,114724343,Mr. M.M.Thufail,CN003,CN
C0694,KAMALESWARY TEX,"NO.214, MAIN STREET,",COLOMBO 11,,CN003,VAN1,,777684520,,Mr.Arumugam Panchawaralingom/47(3773300011005/2378,CN003,CN
C0695,YOGAS TEXTILES,"NO.15,16, GRAND BAZAR ROAD,",JAFFNA,,A SELL,VAN2,,0773479774/021-2223918,,Pathmanathan B.Pathmakumaran.(73536670/74314271),A SELL,SNO
C0696,RAADHA TEX,"KANDY ROAD,",KILINOCHCHI,,SNO001,VAN2,,0213208338/077-9914498,,Mr.Samuwel Nadarajah,SNO001,SNO
C0697,FASHION KING,"NO.117, RAJAPAKSHA BROADWAY,",NEGAMBO,,NW003,VAN15,,077177927/0771464696,,Mr.M.L.P.J.Pulla(A/C-1130065877),NW003,NW
C0698,CITY CHOICE,NO 123 TRINCO ROAD,BATTICALOA,,ET006,VAN14,,62224249,,Mr M K M Ziyad A C 536 6001,ET006,ET
C0699,NASA FASHION,NO 93 2 MAIN STREET,AKKARAIPATTU,,ET006,VAN14,,777881332,,Mr M Buhary Salsabeel 057108004200 16185,ET006,ET
C0700,KEETH TEXTILES & TAILORS,"NO.04, SPRINGWELI ROAD, HINDAGODA,",BADULLA,,CE2004,VAN7,,778298898,,Mr.Kithsiri Rathnayake(A/C-2549208001),CE2004,CE-2
C0701,KEERTHIKA TEXTILES,"PALALY ROAD, URUMPIRAI JUNCTION,",URUMPIRAI,,SNO001,VAN2,,0212231107/0772288245,,Mr.Thyagarasa Ramesh,SNO001,SNO
C0702,MARUTHADY STYLE CITY-Sellepperuma,"JAFFNA ROAD,",MANIPAY,,A SELL,VAN2,,778448051,,Mr.S.Nishanthan(0007628968/1153007256),A SELL,SNO
C0703,DRESS POINT,"NO.23A, POWER HOUSE ROAD,",JAFFNA,,SNO001,VAN2,,0776761363/0212226833,,Mr.Anthony Milton(A/C016010016467/4871,SNO001,SNO
C0704,FASHION CLUB,"BANK STREET,",RIKILLAGASKADA,,CE1004,VAN13,,0715206811/081-2365455,,Mr.P.P.A.P.Perera,CE1004,CE-1
C0705,DAMMIKA TAILORING CENTER,"NO.23, NEW SHOPPING COMPLEX,",HINGURAKKGODA,,ET006,VAN14,,0272247548/724253125/718295532,,Mr.A.M.Dhammika Susantha Kumara Attanayake,ET006,ET
C0706,TOP SELECTION - TRINCO,"NO.208, N.C.ROAD,",TRINCOMALEE,,NW003,VAN15,,0777488438/026-2227343,,A.L.M.Sameem(1105041325/211010002926/49108000579/1,NW003,NW
C0707,ELEGANCE,"NO.703/1, ANURADHAPURA ROAD,",DAMBULLA,,NW003,VAN15,,774363876,,Ms.Shalani Gunawardana,NW003,NW
C0708,WELCOME TEX,"NO.64, THARMALINGAN ROAD,",VAVUNIYA,,NW003,VAN15,,,,A.Azees M. Jaroos(72008009030001/3342206201),NW003,NW
